pref_id,year,pop_total
CHN.1.1_1,2000,5532351.5
CHN.1.2_1,2000,3519973.75
CHN.1.3_1,2000,5084110
CHN.1.4_1,2000,4208880
CHN.1.5_1,2000,1437148.875
CHN.1.6_1,2000,4135757.25
CHN.1.7_1,2000,7993388
CHN.1.8_1,2000,5185038.5
CHN.1.9_1,2000,1838203.375
CHN.1.10_1,2000,1927516
CHN.1.11_1,2000,1385423
CHN.1.12_1,2000,6099173
CHN.1.13_1,2000,1484665.125
CHN.1.14_1,2000,5578003
CHN.1.15_1,2000,706987
CHN.1.16_1,2000,2062844
CHN.1.17_1,2000,2672654.75
CHN.2.1_1,2000,13705236
CHN.3.1_1,2000,30919282
CHN.4.1_1,2000,6679627.5
CHN.4.2_1,2000,2679128.75
CHN.4.3_1,2000,2850232
CHN.4.4_1,2000,3014439.25
CHN.4.5_1,2000,2702012.75
CHN.4.6_1,2000,7349942
CHN.4.7_1,2000,2585389.25
CHN.4.8_1,2000,2044752.625
CHN.4.9_1,2000,4657165
CHN.5.1_1,2000,1701657.875
CHN.5.2_1,2000,2817537.25
CHN.5.3_1,2000,655674.6875
CHN.5.4_1,2000,198692.953125
CHN.5.5_1,2000,454322
CHN.5.6_1,2000,979562.25
CHN.5.7_1,2000,3186235.5
CHN.5.8_1,2000,1835240.375
CHN.5.9_1,2000,2599810.25
CHN.5.10_1,2000,2048513.875
CHN.5.11_1,2000,2413762.5
CHN.5.12_1,2000,3212433.75
CHN.5.13_1,2000,1816082.125
CHN.5.14_1,2000,1257646.125
CHN.6.1_1,2000,2486112.75
CHN.6.2_1,2000,7550809
CHN.6.3_1,2000,5552730
CHN.6.4_1,2000,10629055
CHN.6.5_1,2000,2304562.25
CHN.6.6_1,2000,3383183.25
CHN.6.7_1,2000,4274398
CHN.6.8_1,2000,5232720
CHN.6.9_1,2000,5267677.5
CHN.6.10_1,2000,3808495.75
CHN.6.11_1,2000,3344671
CHN.6.12_1,2000,4912320.5
CHN.6.13_1,2000,2471369.5
CHN.6.14_1,2000,2779333.5
CHN.6.15_1,2000,6744475.5
CHN.6.16_1,2000,2208416.75
CHN.6.17_1,2000,2134731
CHN.6.18_1,2000,6238129
CHN.6.19_1,2000,3506658.5
CHN.6.20_1,2000,2684455
CHN.6.21_1,2000,1636031.25
CHN.7.1_1,2000,3340168.75
CHN.7.2_1,2000,1411063
CHN.7.3_1,2000,2000409.875
CHN.7.4_1,2000,746765.0625
CHN.7.5_1,2000,3870797
CHN.7.6_1,2000,4602116
CHN.7.7_1,2000,3505254
CHN.7.8_1,2000,1935038.75
CHN.7.9_1,2000,2100264.25
CHN.7.10_1,2000,3633156.75
CHN.7.11_1,2000,6215019.5
CHN.7.12_1,2000,2869558.5
CHN.7.13_1,2000,2826518.75
CHN.7.14_1,2000,5068225.5
CHN.8.1_1,2000,2333768.5
CHN.8.2_1,2000,6335374
CHN.8.3_1,2000,3713828.25
CHN.8.4_1,2000,2738241
CHN.8.5_1,2000,3831972.25
CHN.8.6_1,2000,3566452.5
CHN.8.7_1,2000,2848809.75
CHN.8.8_1,2000,3289743
CHN.8.9_1,2000,6489820.5
CHN.9.1_1,2000,1564658.625
CHN.9.2_1,2000,5611721
CHN.9.3_1,2000,512100.65625
CHN.10.1_1,2000,10479756
CHN.10.2_1,2000,6851486.5
CHN.10.3_1,2000,3331180.25
CHN.10.4_1,2000,8382710
CHN.10.5_1,2000,4223317.5
CHN.10.6_1,2000,3724442
CHN.10.7_1,2000,2774783.5
CHN.10.8_1,2000,9256906
CHN.10.9_1,2000,7123725.5
CHN.10.10_1,2000,6674743
CHN.10.11_1,2000,4195197
CHN.11.1_1,2000,2385418.5
CHN.11.2_1,2000,321169.1875
CHN.11.3_1,2000,9679814
CHN.11.4_1,2000,1105981.875
CHN.11.5_1,2000,1615623
CHN.11.6_1,2000,2478731.25
CHN.11.7_1,2000,1943814.625
CHN.11.8_1,2000,2709903.75
CHN.11.9_1,2000,5567536.5
CHN.11.10_1,2000,801783.1875
CHN.11.11_1,2000,1472873.75
CHN.11.12_1,2000,5421385
CHN.11.13_1,2000,1227881.5
CHN.12.1_1,2000,5128437
CHN.12.2_1,2000,1399926.75
CHN.12.3_1,2000,3362049.5
CHN.12.4_1,2000,629667.3125
CHN.12.5_1,2000,4612724.5
CHN.12.6_1,2000,2219038
CHN.12.7_1,2000,6152936.5
CHN.12.8_1,2000,9627879
CHN.12.9_1,2000,4828751.5
CHN.12.10_1,2000,3424037.75
CHN.12.11_1,2000,2195337.75
CHN.12.12_1,2000,7766574.5
CHN.12.13_1,2000,5427636
CHN.12.14_1,2000,6629363.5
CHN.12.15_1,2000,4115562.25
CHN.12.16_1,2000,6701089.5
CHN.12.17_1,2000,9717690
CHN.12.18_1,2000,7486137.5
CHN.13.1_1,2000,3734167
CHN.13.2_1,2000,1748005.125
CHN.13.3_1,2000,7041066.5
CHN.13.4_1,2000,2672834.5
CHN.13.5_1,2000,3111610.25
CHN.13.6_1,2000,6807554.5
CHN.13.7_1,2000,1097043.375
CHN.13.8_1,2000,91519.6640625
CHN.13.9_1,2000,3465906.5
CHN.13.10_1,2000,2517407.25
CHN.13.11_1,2000,1731174.125
CHN.13.12_1,2000,9551030
CHN.13.13_1,2000,5885468.5
CHN.13.14_1,2000,2809253.5
CHN.13.15_1,2000,1325676.5
CHN.13.16_1,2000,4994538.5
CHN.13.17_1,2000,4305655
CHN.14.1_1,2000,6052948
CHN.14.2_1,2000,6440424.5
CHN.14.3_1,2000,4305834.5
CHN.14.4_1,2000,6907930
CHN.14.5_1,2000,4694126
CHN.14.6_1,2000,3769747.5
CHN.14.7_1,2000,7535393.5
CHN.14.8_1,2000,2750248
CHN.14.9_1,2000,2471645.75
CHN.14.10_1,2000,4439582
CHN.14.11_1,2000,4835026
CHN.14.12_1,2000,5489275.5
CHN.14.13_1,2000,1517461.875
CHN.14.14_1,2000,3646501.25
CHN.15.1_1,2000,3801870
CHN.15.2_1,2000,5329552
CHN.15.3_1,2000,4645972
CHN.15.4_1,2000,6499532.5
CHN.15.5_1,2000,7540931
CHN.15.6_1,2000,5104785.5
CHN.15.7_1,2000,9231923
CHN.15.8_1,2000,5020041.5
CHN.15.9_1,2000,5243309
CHN.15.10_1,2000,8982913
CHN.15.11_1,2000,7980076
CHN.15.12_1,2000,4739491.5
CHN.15.13_1,2000,3014258.5
CHN.16.1_1,2000,3652699.75
CHN.16.2_1,2000,7496972.5
CHN.16.3_1,2000,4486918
CHN.16.4_1,2000,1461419.375
CHN.16.5_1,2000,4956941.5
CHN.16.6_1,2000,4818690.5
CHN.16.7_1,2000,1699069.125
CHN.16.8_1,2000,6159229.5
CHN.16.9_1,2000,1072908.75
CHN.16.10_1,2000,4982298.5
CHN.16.11_1,2000,1041311.0625
CHN.17.1_1,2000,2067683.125
CHN.17.2_1,2000,1301630.875
CHN.17.3_1,2000,7175633.5
CHN.17.4_1,2000,4651604.5
CHN.17.5_1,2000,1307849.75
CHN.17.6_1,2000,3296905.75
CHN.17.7_1,2000,2862127.75
CHN.17.8_1,2000,2291168.5
CHN.17.9_1,2000,2230217.5
CHN.18.1_1,2000,3568535
CHN.18.2_1,2000,1583120.25
CHN.18.3_1,2000,3226508
CHN.18.4_1,2000,5938199.5
CHN.18.5_1,2000,2400730.25
CHN.18.6_1,2000,2261166.75
CHN.18.7_1,2000,1845304.875
CHN.18.8_1,2000,2576763.5
CHN.18.9_1,2000,3117161.75
CHN.18.10_1,2000,1838973.25
CHN.18.11_1,2000,1362084.5
CHN.18.12_1,2000,7323007
CHN.18.13_1,2000,5094757
CHN.19.1_1,2000,234188.234375
CHN.19.2_1,2000,2016943.625
CHN.19.3_1,2000,1656392
CHN.19.4_1,2000,4430849.5
CHN.19.5_1,2000,2621724.25
CHN.19.6_1,2000,2935104
CHN.19.7_1,2000,1478210.625
CHN.19.8_1,2000,3136980
CHN.19.9_1,2000,2269115
CHN.19.10_1,2000,382073.15625
CHN.19.11_1,2000,992009.25
CHN.19.12_1,2000,1514724.375
CHN.20.1_1,2000,1442477.125
CHN.20.2_1,2000,671998.5625
CHN.20.3_1,2000,1048411.6875
CHN.20.4_1,2000,1463104.125
CHN.20.5_1,2000,856717
CHN.21.1_1,2000,137963.71875
CHN.21.2_1,2000,264034.1875
CHN.21.3_1,2000,254735.203125
CHN.21.4_1,2000,1415879.875
CHN.21.5_1,2000,383205.375
CHN.21.6_1,2000,334908.25
CHN.21.7_1,2000,221149.984375
CHN.21.8_1,2000,1811503.75
CHN.22.1_1,2000,2620012.25
CHN.22.2_1,2000,3634455
CHN.22.3_1,2000,3432008.25
CHN.22.4_1,2000,2336102.25
CHN.22.5_1,2000,470079.375
CHN.22.6_1,2000,5303000
CHN.22.7_1,2000,7269729
CHN.22.8_1,2000,5153328
CHN.22.9_1,2000,2028407
CHN.22.10_1,2000,3338992.25
CHN.23.1_1,2000,3168505.5
CHN.23.2_1,2000,5279718.5
CHN.23.3_1,2000,1849749.875
CHN.23.4_1,2000,8107369.5
CHN.23.5_1,2000,6033101
CHN.23.6_1,2000,6856610
CHN.23.7_1,2000,1142763.625
CHN.23.8_1,2000,5411670
CHN.23.9_1,2000,10140136
CHN.23.10_1,2000,7582573
CHN.23.11_1,2000,2726966.25
CHN.23.12_1,2000,5303659
CHN.23.13_1,2000,8632772
CHN.23.14_1,2000,2599627.5
CHN.23.15_1,2000,6692120
CHN.23.16_1,2000,4618547
CHN.23.17_1,2000,4653681
CHN.24.1_1,2000,16741810
CHN.25.1_1,2000,3171308.75
CHN.25.2_1,2000,3029968.25
CHN.25.3_1,2000,2179581.25
CHN.25.4_1,2000,3033470.5
CHN.25.5_1,2000,3959562.25
CHN.25.6_1,2000,3384609.25
CHN.25.7_1,2000,1463688.75
CHN.25.8_1,2000,3347579
CHN.25.9_1,2000,2880868.5
CHN.25.10_1,2000,1263209.75
CHN.25.11_1,2000,4942855
CHN.26.1_1,2000,3287372.25
CHN.26.2_1,2000,10584897
CHN.26.3_1,2000,5837639.5
CHN.26.4_1,2000,3752605.75
CHN.26.5_1,2000,893689.0625
CHN.26.6_1,2000,4186445.25
CHN.26.7_1,2000,3050843.75
CHN.26.8_1,2000,3101830.25
CHN.26.9_1,2000,4104932.25
CHN.26.10_1,2000,4234705.5
CHN.26.11_1,2000,3515611.5
CHN.26.12_1,2000,5253120.5
CHN.26.13_1,2000,6735666
CHN.26.15_1,2000,2209710.25
CHN.26.14_1,2000,2048080
CHN.26.16_1,2000,1362965.125
CHN.26.17_1,2000,1088628
CHN.26.18_1,2000,3477151
CHN.26.19_1,2000,1504392.875
CHN.26.20_1,2000,4913429
CHN.26.21_1,2000,2947024.25
CHN.26.22_1,2000,4722227
CHN.27.1_1,2000,11150761
CHN.28.1_1,2000,2276429.75
CHN.28.2_1,2000,574586.5
CHN.28.3_1,2000,1065984.25
CHN.28.4_1,2000,423794.9375
CHN.28.5_1,2000,1579564.875
CHN.28.6_1,2000,492759.96875
CHN.28.7_1,2000,2357095.75
CHN.28.8_1,2000,248923.453125
CHN.28.9_1,2000,3498147.5
CHN.28.10_1,2000,1684624.5
CHN.28.11_1,2000,484409.5625
CHN.28.12_1,2000,327602.6875
CHN.28.13_1,2000,880999.5
CHN.28.14_1,2000,549616.5625
CHN.28.15_1,2000,2086431
CHN.29.1_1,2000,580792.5625
CHN.29.2_1,2000,473124.9375
CHN.29.3_1,2000,372908.90625
CHN.29.4_1,2000,82152.1640625
CHN.29.5_1,2000,167602.34375
CHN.29.6_1,2000,325071.15625
CHN.29.7_1,2000,641557.4375
CHN.30.1_1,2000,2337164.75
CHN.30.2_1,2000,2540505
CHN.30.3_1,2000,3323836.25
CHN.30.4_1,2000,1073179.875
CHN.30.5_1,2000,352378.34375
CHN.30.6_1,2000,4128727
CHN.30.7_1,2000,5863925.5
CHN.30.8_1,2000,1135804.875
CHN.30.9_1,2000,2302579.5
CHN.30.10_1,2000,477984.4375
CHN.30.11_1,2000,2469619.5
CHN.30.12_1,2000,5469222
CHN.30.13_1,2000,3260250.5
CHN.30.14_1,2000,976094.1875
CHN.30.15_1,2000,2108621.25
CHN.30.16_1,2000,4558296.5
CHN.31.1_1,2000,7344582
CHN.31.2_1,2000,2590976.25
CHN.31.3_1,2000,3675761.5
CHN.31.4_1,2000,4616883
CHN.31.5_1,2000,2154288.5
CHN.31.6_1,2000,6105575
CHN.31.7_1,2000,2137416.5
CHN.31.8_1,2000,4241212
CHN.31.9_1,2000,5347614.5
CHN.31.10_1,2000,7877652.5
CHN.31.11_1,2000,926635.5
CHN.1.1_1,2005,5598566
CHN.1.2_1,2005,3455645.5
CHN.1.3_1,2005,4971933.5
CHN.1.4_1,2005,4155116.5
CHN.1.5_1,2005,1444740.875
CHN.1.6_1,2005,4109548
CHN.1.7_1,2005,7790244
CHN.1.8_1,2005,5588571.5
CHN.1.9_1,2005,1941717.5
CHN.1.10_1,2005,2053990.125
CHN.1.11_1,2005,1380281.375
CHN.1.12_1,2005,5928811.5
CHN.1.13_1,2005,1492902
CHN.1.14_1,2005,5501631.5
CHN.1.15_1,2005,726311.5625
CHN.1.16_1,2005,2114152.5
CHN.1.17_1,2005,2615253.5
CHN.2.1_1,2005,16450167
CHN.3.1_1,2005,30053906
CHN.4.1_1,2005,7048203.5
CHN.4.2_1,2005,2618592.25
CHN.4.3_1,2005,2764284.75
CHN.4.4_1,2005,2932576
CHN.4.5_1,2005,2728209.5
CHN.4.6_1,2005,7763458
CHN.4.7_1,2005,2550868.5
CHN.4.8_1,2005,2665452.75
CHN.4.9_1,2005,4777951.5
CHN.5.1_1,2005,1696667.375
CHN.5.2_1,2005,2759936.25
CHN.5.3_1,2005,679260.4375
CHN.5.4_1,2005,213086.03125
CHN.5.5_1,2005,460332.375
CHN.5.6_1,2005,1035675.625
CHN.5.7_1,2005,3414584.75
CHN.5.8_1,2005,1892559.5
CHN.5.9_1,2005,2590640.75
CHN.5.10_1,2005,2046835.375
CHN.5.11_1,2005,2309096.5
CHN.5.12_1,2005,3233004
CHN.5.13_1,2005,1805982.375
CHN.5.14_1,2005,1231991
CHN.6.1_1,2005,2622148.5
CHN.6.2_1,2005,8032824
CHN.6.3_1,2005,6426013.5
CHN.6.4_1,2005,12007040
CHN.6.5_1,2005,2624634.5
CHN.6.6_1,2005,4024570.75
CHN.6.7_1,2005,4541553
CHN.6.8_1,2005,5549392.5
CHN.6.9_1,2005,5551587
CHN.6.10_1,2005,4021830.5
CHN.6.11_1,2005,3535842
CHN.6.12_1,2005,5271858
CHN.6.13_1,2005,2702515.5
CHN.6.14_1,2005,2828484.5
CHN.6.15_1,2005,8170815
CHN.6.16_1,2005,2333421
CHN.6.17_1,2005,2239447
CHN.6.18_1,2005,6693844.5
CHN.6.19_1,2005,3779768.5
CHN.6.20_1,2005,2918275.75
CHN.6.21_1,2005,1825787.625
CHN.7.1_1,2005,3406023.5
CHN.7.2_1,2005,1467422.125
CHN.7.3_1,2005,1997492.875
CHN.7.4_1,2005,808521.375
CHN.7.5_1,2005,4014250
CHN.7.6_1,2005,4667190
CHN.7.7_1,2005,3429926.5
CHN.7.8_1,2005,1944758.75
CHN.7.9_1,2005,2106797.5
CHN.7.10_1,2005,3744283.25
CHN.7.11_1,2005,6512281.5
CHN.7.12_1,2005,2961029.5
CHN.7.13_1,2005,2871224.75
CHN.7.14_1,2005,5264968.5
CHN.8.1_1,2005,2317997.5
CHN.8.2_1,2005,6442382
CHN.8.3_1,2005,3998036.25
CHN.8.4_1,2005,2790288.5
CHN.8.5_1,2005,3649771.25
CHN.8.6_1,2005,3399952.25
CHN.8.7_1,2005,2820217.25
CHN.8.8_1,2005,3184976.75
CHN.8.9_1,2005,6283458.5
CHN.9.1_1,2005,1816379
CHN.9.2_1,2005,5802554
CHN.9.3_1,2005,593827.375
CHN.10.1_1,2005,10840575
