outcome,n_obs,r_squared,adj_r_squared,rmse
Population growth (%/year),344,0.49157565701797923,0.4300995109711335,0.7813098460667504
Economic growth (%/year),344,0.8112827546704777,0.8061975594370475,0.6969458216500126
