corridor_band,n_prefectures,mean_pop_growth_ann_pct,mean_econ_growth_ann_pct
0-10 km,38,0.7056038573646428,12.975293311461122
10-25 km,92,0.6354366611773021,12.359092887695489
25-50 km,82,0.5515486079423761,12.449815672964547
>50 km,132,0.6868595586995077,12.213371800009895
