pref_id,pref_name.x,prov_id,prov_name.x,pref_area_km2,pop_start,pop_end,pref_gdp_start,pref_gdp_end,rail_start,rail_end,hsr_start,hsr_end,n_station_hsr_start,n_station_hsr_end,dist_station_start,dist_station_end,dist_hsr_station_start,dist_hsr_station_end,active_zones,n_zones,n_zone_types,sez_area_km2,pop_growth_ann,pref_gdp_growth_ann,rail_km_change,hsr_km_change,hsr_station_gain,station_access_improve_km,hsr_access_improve_km,zone_intensity_v,connectivity_gain_v,pop_growth_v,econ_growth_v,zone_band_v,conn_band_v,pop_band_v,econ_band_v,trajectory_type_v,variant,pref_name.y,prov_name.y
CHN.1.10_1,Huainan,CHN.1_1,Anhui,3011.839665614685,1927516,2489689.25,28749.953124083684,365297.8181715927,261.7738313463803,420.6706487022497,0,57.953240563377136,0,2,2.5813612969720237,2.5813612969720237,62.35230603840141,21.44926486214237,0,0,0,0,0.012878511653228841,0.13553492698624114,158.89681735586942,57.953240563377136,2,0,40.90304117625904,0,139.40164924131184,0.012878511653228841,0.13553492698624114,low,low,high,high,Mixed Transitional Pattern,baseline_q33_q67,Huainan,Anhui
CHN.1.11_1,Huangshan,CHN.1_1,Anhui,13000.369113394772,1385423,1365656.125,28749.953124083684,365297.8181715927,170.773982208728,173.33110858746852,0,150.8460939416761,0,3,15.471708418282564,15.471708418282564,106.52059510422859,48.09193397999896,0,0,0,0,-7.182677905006596e-4,0.13553492698624114,2.55712637874052,150.8460939416761,3,0,58.42866112422963,0,155.12465713104635,-7.182677905006596e-4,0.13553492698624114,low,low,low,high,Activity Growth Without Population Surge,baseline_q33_q67,Huangshan,Anhui
CHN.1.12_1,Lu'an,CHN.1_1,Anhui,25519.045185292707,6099173,5450480,28749.953124083684,365297.8181715927,5.911391514057761,283.2786928560004,0,191.25569591718806,0,6,95.57277427856909,20.38516958426384,101.61674867538827,20.38516958426384,0,1,1,0,-0.0056066989675122025,0.13553492698624114,277.36730134194266,191.25569591718806,6,75.18760469430525,81.23157909112443,0.5,486.31455597676995,-0.0056066989675122025,0.13553492698624114,high,high,low,high,Activity Growth Without Population Surge,baseline_q33_q67,Lu'an,Anhui
CHN.1.13_1,Ma'anshan,CHN.1_1,Anhui,2468.883144220681,1484665.125,1521098.875,28749.953124083684,365297.8181715927,76.82479011616441,76.82479011619573,0,51.996447574495015,0,2,16.53208091458452,11.541990529494903,36.70274336723204,11.541990529494903,0,1,1,0,0.0012129237960400996,0.13553492698624114,3.1320723792305216e-11,51.996447574495015,2,4.990090385089616,25.160752837737135,0.5,63.97662834468991,0.0012129237960400996,0.13553492698624114,high,low,low,high,Zone-Led Industrial/Policy Growth,baseline_q33_q67,Ma'anshan,Anhui
CHN.1.14_1,Suzhou,CHN.1_1,Anhui,14539.151931976538,5578003,5282736,28749.953124083684,365297.8181715927,366.55624752896773,540.6927501631815,0,364.81891757012886,5,8,22.151045074597416,22.151045074597416,41.722913656348666,30.739233333775207,0,2,1,0,-0.002715640045558465,0.13553492698624114,174.13650263421374,364.81891757012886,3,0,10.98368032257346,0.5,454.8871688872357,-0.002715640045558465,0.13553492698624114,high,high,low,high,Activity Growth Without Population Surge,baseline_q33_q67,Suzhou,Anhui
CHN.1.15_1,Tongling,CHN.1_1,Anhui,1412.801727038817,706987,787662.9375,28749.953124083684,365297.8181715927,76.07913702779044,121.35786026666754,0,103.4477468785363,1,2,0.7139152366364719,0.7139152366364719,9.616278674643267,9.616278674643267,0,1,1,0,0.005417520773790319,0.13553492698624114,45.278723238877106,103.4477468785363,1,0,0,0.5,127.08710849797484,0.005417520773790319,0.13553492698624114,high,low,mid,high,Zone-Led Industrial/Policy Growth,baseline_q33_q67,Tongling,Anhui
CHN.1.16_1,Wuhu,CHN.1_1,Anhui,4503.3684104928725,2062844,2276484.75,28749.953124083684,365297.8181715927,251.28727601704236,252.7603475632697,0,198.44168387217243,2,3,16.04781119312376,16.04781119312376,25.355480625307816,25.355480625307816,0,0,0,0,0.004939502502894433,0.13553492698624114,1.4730715462273452,198.44168387217243,1,0,0,0,200.1782196452861,0.004939502502894433,0.13553492698624114,low,mid,mid,high,Mixed Transitional Pattern,baseline_q33_q67,Wuhu,Anhui
CHN.1.17_1,Xuancheng,CHN.1_1,Anhui,16673.514958619147,2672654.75,2455143,28749.953124083684,365297.8181715927,438.47440613581995,438.4744061358248,0,259.67763337734993,2,6,27.501687236401878,27.501687236401878,41.357526166017834,36.019165179150335,0,0,0,0,-0.004235368361622971,0.13553492698624114,4.831690603168681e-12,259.67763337734993,4,0,5.3383609868674995,0,263.6776333773523,-0.004235368361622971,0.13553492698624114,low,mid,low,high,Activity Growth Without Population Surge,baseline_q33_q67,Xuancheng,Anhui
CHN.1.1_1,Anqing,CHN.1_1,Anhui,20870.382203027326,5532351.5,5803829.5,28749.953124083684,365297.8181715927,244.25056858260376,251.31087858999427,0,123.22990159724094,1,1,16.743025174874358,16.743025174874358,54.848150222490865,54.848150222490865,0,1,1,0,0.002398121259211683,0.13553492698624114,7.0603100073905125,123.22990159724094,0,0,0,0.5,126.7600566009362,0.002398121259211683,0.13553492698624114,high,low,mid,high,Zone-Led Industrial/Policy Growth,baseline_q33_q67,Anqing,Anhui
CHN.1.2_1,Bengbu,CHN.1_1,Anhui,8437.657666367044,3519973.75,3270861.25,28749.953124083684,365297.8181715927,311.6438259948396,387.3228705772064,0,183.605474961903,1,2,9.138265850882174,9.138265850882174,30.000646755703084,28.004775555451786,0,0,0,0,-0.003663283881785273,0.13553492698624114,75.67904458236683,183.605474961903,1,0,1.9958712002512975,0,222.44499725308643,-0.003663283881785273,0.13553492698624114,low,mid,low,high,Activity Growth Without Population Surge,baseline_q33_q67,Bengbu,Anhui
