year,pop_hhi,econ_hhi
2000,0.004727880425883973,0.00796018156249675
2005,0.004779951810077923,0.007892508233227446
2010,0.004884550222091705,0.007958720424176917
2015,0.005050374757766295,0.007762012277168196
2020,0.0052878661957110485,0.008018135810185036
