pref_id,year,prov_id,pref_name,prov_name,pref_area_km2,n_zones,n_zone_types,first_zone_year,sez_area_km2,new_zones,active_zones,rail,hsr,n_station_rail,n_station_hsr,dist_station_km,dist_hsr_station_km,pop_total,gdp_value,gdp_growth_pct,gdp_unit,price_basis,pop_share_in_prov,pref_gdp_value,pref_gdp_growth_pct,ntl_total
CHN.1.10_1,2000,CHN.1_1,Huainan,Anhui,3011.839665614685,0,0,NA,0,0,0,261.7738313463803,0,9,0,2.5813612969720237,62.35230603840141,1927516,316230,NA,CNY million (nominal),nominal,0.0909146922306033,28749.953124083684,NA,NA
CHN.1.10_1,2005,CHN.1_1,Huainan,Anhui,3011.839665614685,0,0,NA,0,0,0,261.7738313463803,0,9,0,2.5813612969720237,62.35230603840141,2053990.125,831845,163.05062770768112,CNY million (nominal),nominal,0.09197666473066778,76510.32867288233,166.12331624565337,NA
CHN.1.10_1,2010,CHN.1_1,Huainan,Anhui,3011.839665614685,0,0,NA,0,0,0,261.77383134637614,0,9,0,2.5813612969720237,62.35230603840141,2189424.75,1347460,61.98450432472396,CNY million (nominal),nominal,0.09294488700761665,125239.51744728313,63.689686895400776,NA
CHN.1.10_1,2015,CHN.1_1,Huainan,Anhui,3011.839665614685,0,0,NA,0,0,0,420.6706487022545,23.800089408779407,9,1,2.5813612969720237,50.44386420159995,2334437.5,2414270,79.1719234708266,CNY million (nominal),nominal,0.09381085456505187,226484.73185076777,80.8412683689089,NA
CHN.1.10_1,2020,CHN.1_1,Huainan,Anhui,3011.839665614685,0,0,NA,0,0,0,420.6706487022497,57.953240563377136,9,2,2.5813612969720237,21.44926486214237,2489689.25,3862880,60.00198817862128,CNY million (nominal),nominal,0.09456618330665015,365297.8181715927,61.29026234416975,NA
CHN.1.11_1,2000,CHN.1_1,Huangshan,Anhui,13000.369113394772,0,0,NA,0,0,0,170.773982208728,0,16,0,15.471708418282564,106.52059510422859,1385423,316230,NA,CNY million (nominal),nominal,0.0909146922306033,28749.953124083684,NA,NA
CHN.1.11_1,2005,CHN.1_1,Huangshan,Anhui,13000.369113394772,0,0,NA,0,0,0,170.773982208728,0,16,0,15.471708418282564,106.52059510422859,1380281.375,831845,163.05062770768112,CNY million (nominal),nominal,0.09197666473066778,76510.32867288233,166.12331624565337,NA
CHN.1.11_1,2010,CHN.1_1,Huangshan,Anhui,13000.369113394772,0,0,NA,0,0,0,170.7739822087223,0,16,0,15.471708418282564,93.7544031966995,1375266.5,1347460,61.98450432472396,CNY million (nominal),nominal,0.09294488700761665,125239.51744728313,63.689686895400776,NA
CHN.1.11_1,2015,CHN.1_1,Huangshan,Anhui,13000.369113394772,0,0,NA,0,0,0,173.33110858746528,82.53324025573393,16,2,15.471708418282564,48.09193397999896,1370387.875,2414270,79.1719234708266,CNY million (nominal),nominal,0.09381085456505187,226484.73185076777,80.8412683689089,NA
CHN.1.11_1,2020,CHN.1_1,Huangshan,Anhui,13000.369113394772,0,0,NA,0,0,0,173.33110858746852,150.8460939416761,16,3,15.471708418282564,48.09193397999896,1365656.125,3862880,60.00198817862128,CNY million (nominal),nominal,0.09456618330665015,365297.8181715927,61.29026234416975,NA
CHN.1.12_1,2000,CHN.1_1,Lu'an,Anhui,25519.045185292707,1,1,NA,0,0,0,5.911391514057761,0,1,0,95.57277427856909,101.61674867538827,6099173,316230,NA,CNY million (nominal),nominal,0.0909146922306033,28749.953124083684,NA,NA
CHN.1.12_1,2005,CHN.1_1,Lu'an,Anhui,25519.045185292707,1,1,NA,0,0,0,152.68293107017104,0,2,1,27.10694926236396,27.10694926236396,5928811.5,831845,163.05062770768112,CNY million (nominal),nominal,0.09197666473066778,76510.32867288233,166.12331624565337,NA
CHN.1.12_1,2010,CHN.1_1,Lu'an,Anhui,25519.045185292707,1,1,NA,0,0,0,152.68293107017865,162.21227989780178,2,5,20.38516958426384,20.38516958426384,5763990,1347460,61.98450432472396,CNY million (nominal),nominal,0.09294488700761665,125239.51744728313,63.689686895400776,NA
CHN.1.12_1,2015,CHN.1_1,Lu'an,Anhui,25519.045185292707,1,1,NA,0,0,0,283.27869285599655,162.21227989780178,5,5,20.38516958426384,20.38516958426384,5604585,2414270,79.1719234708266,CNY million (nominal),nominal,0.09381085456505187,226484.73185076777,80.8412683689089,NA
CHN.1.12_1,2020,CHN.1_1,Lu'an,Anhui,25519.045185292707,1,1,NA,0,0,0,283.2786928560004,191.25569591718806,5,6,20.38516958426384,20.38516958426384,5450480,3862880,60.00198817862128,CNY million (nominal),nominal,0.09456618330665015,365297.8181715927,61.29026234416975,NA
CHN.1.13_1,2000,CHN.1_1,Ma'anshan,Anhui,2468.883144220681,1,1,NA,0,0,0,76.82479011616441,0,6,0,16.53208091458452,36.70274336723204,1484665.125,316230,NA,CNY million (nominal),nominal,0.0909146922306033,28749.953124083684,NA,NA
CHN.1.13_1,2005,CHN.1_1,Ma'anshan,Anhui,2468.883144220681,1,1,NA,0,0,0,76.82479011616441,0,6,0,16.53208091458452,36.70274336723204,1492902,831845,163.05062770768112,CNY million (nominal),nominal,0.09197666473066778,76510.32867288233,166.12331624565337,NA
CHN.1.13_1,2010,CHN.1_1,Ma'anshan,Anhui,2468.883144220681,1,1,NA,0,0,0,76.82479011619182,0,6,0,16.53208091458452,36.70274336723204,1501673.375,1347460,61.98450432472396,CNY million (nominal),nominal,0.09294488700761665,125239.51744728313,63.689686895400776,NA
CHN.1.13_1,2015,CHN.1_1,Ma'anshan,Anhui,2468.883144220681,1,1,NA,0,0,0,76.82479011618615,51.996447574495015,6,2,11.541990529494903,11.541990529494903,1511046.75,2414270,79.1719234708266,CNY million (nominal),nominal,0.09381085456505187,226484.73185076777,80.8412683689089,NA
CHN.1.13_1,2020,CHN.1_1,Ma'anshan,Anhui,2468.883144220681,1,1,NA,0,0,0,76.82479011619573,51.996447574495015,6,2,11.541990529494903,11.541990529494903,1521098.875,3862880,60.00198817862128,CNY million (nominal),nominal,0.09456618330665015,365297.8181715927,61.29026234416975,NA
CHN.1.14_1,2000,CHN.1_1,Suzhou,Anhui,14539.151931976538,2,1,NA,0,0,0,366.55624752896773,0,19,5,22.151045074597416,41.722913656348666,5578003,316230,NA,CNY million (nominal),nominal,0.0909146922306033,28749.953124083684,NA,NA
CHN.1.14_1,2005,CHN.1_1,Suzhou,Anhui,14539.151931976538,2,1,NA,0,0,0,399.77826301233915,0,19,5,22.151045074597416,41.722913656348666,5501631.5,831845,163.05062770768112,CNY million (nominal),nominal,0.09197666473066778,76510.32867288233,166.12331624565337,NA
CHN.1.14_1,2010,CHN.1_1,Suzhou,Anhui,14539.151931976538,2,1,NA,0,0,0,399.7782630123471,0,19,5,22.151045074597416,41.722913656348666,5426960,1347460,61.98450432472396,CNY million (nominal),nominal,0.09294488700761665,125239.51744728313,63.689686895400776,NA
CHN.1.14_1,2015,CHN.1_1,Suzhou,Anhui,14539.151931976538,2,1,NA,0,0,0,540.6927501631808,157.64189700620432,21,6,22.151045074597416,39.73310172191543,5353992.5,2414270,79.1719234708266,CNY million (nominal),nominal,0.09381085456505187,226484.73185076777,80.8412683689089,NA
CHN.1.14_1,2020,CHN.1_1,Suzhou,Anhui,14539.151931976538,2,1,NA,0,0,0,540.6927501631815,364.81891757012886,21,8,22.151045074597416,30.739233333775207,5282736,3862880,60.00198817862128,CNY million (nominal),nominal,0.09456618330665015,365297.8181715927,61.29026234416975,NA
CHN.1.15_1,2000,CHN.1_1,Tongling,Anhui,1412.801727038817,1,1,NA,0,0,0,76.07913702779044,0,3,1,0.7139152366364719,9.616278674643267,706987,316230,NA,CNY million (nominal),nominal,0.0909146922306033,28749.953124083684,NA,NA
CHN.1.15_1,2005,CHN.1_1,Tongling,Anhui,1412.801727038817,1,1,NA,0,0,0,76.07913702779044,0,3,1,0.7139152366364719,9.616278674643267,726311.5625,831845,163.05062770768112,CNY million (nominal),nominal,0.09197666473066778,76510.32867288233,166.12331624565337,NA
CHN.1.15_1,2010,CHN.1_1,Tongling,Anhui,1412.801727038817,1,1,NA,0,0,0,100.36845047068553,0,3,1,0.7139152366364719,9.616278674643267,746188.6875,1347460,61.98450432472396,CNY million (nominal),nominal,0.09294488700761665,125239.51744728313,63.689686895400776,NA
CHN.1.15_1,2015,CHN.1_1,Tongling,Anhui,1412.801727038817,1,1,NA,0,0,0,100.36845047069187,103.4477468785363,3,2,0.7139152366364719,9.616278674643267,766633.8125,2414270,79.1719234708266,CNY million (nominal),nominal,0.09381085456505187,226484.73185076777,80.8412683689089,NA
CHN.1.15_1,2020,CHN.1_1,Tongling,Anhui,1412.801727038817,1,1,NA,0,0,0,121.35786026666754,103.4477468785363,3,2,0.7139152366364719,9.616278674643267,787662.9375,3862880,60.00198817862128,CNY million (nominal),nominal,0.09456618330665015,365297.8181715927,61.29026234416975,NA
CHN.1.16_1,2000,CHN.1_1,Wuhu,Anhui,4503.3684104928725,0,0,NA,0,0,0,251.28727601704236,0,13,2,16.04781119312376,25.355480625307816,2062844,316230,NA,CNY million (nominal),nominal,0.0909146922306033,28749.953124083684,NA,NA
CHN.1.16_1,2005,CHN.1_1,Wuhu,Anhui,4503.3684104928725,0,0,NA,0,0,0,251.28727601704236,0,13,2,16.04781119312376,25.355480625307816,2114152.5,831845,163.05062770768112,CNY million (nominal),nominal,0.09197666473066778,76510.32867288233,166.12331624565337,NA
CHN.1.16_1,2010,CHN.1_1,Wuhu,Anhui,4503.3684104928725,0,0,NA,0,0,0,251.2872760170465,0,13,2,16.04781119312376,25.355480625307816,2166838.5,1347460,61.98450432472396,CNY million (nominal),nominal,0.09294488700761665,125239.51744728313,63.689686895400776,NA
CHN.1.16_1,2015,CHN.1_1,Wuhu,Anhui,4503.3684104928725,0,0,NA,0,0,0,251.28727601705378,129.31690058147908,13,3,16.04781119312376,25.355480625307816,2220937.5,2414270,79.1719234708266,CNY million (nominal),nominal,0.09381085456505187,226484.73185076777,80.8412683689089,NA
CHN.1.16_1,2020,CHN.1_1,Wuhu,Anhui,4503.3684104928725,0,0,NA,0,0,0,252.7603475632697,198.44168387217243,13,3,16.04781119312376,25.355480625307816,2276484.75,3862880,60.00198817862128,CNY million (nominal),nominal,0.09456618330665015,365297.8181715927,61.29026234416975,NA
CHN.1.17_1,2000,CHN.1_1,Xuancheng,Anhui,16673.514958619147,0,0,NA,0,0,0,438.47440613581995,0,20,2,27.501687236401878,41.357526166017834,2672654.75,316230,NA,CNY million (nominal),nominal,0.0909146922306033,28749.953124083684,NA,NA
CHN.1.17_1,2005,CHN.1_1,Xuancheng,Anhui,16673.514958619147,0,0,NA,0,0,0,438.47440613581995,0,20,2,27.501687236401878,41.357526166017834,2615253.5,831845,163.05062770768112,CNY million (nominal),nominal,0.09197666473066778,76510.32867288233,166.12331624565337,NA
CHN.1.17_1,2010,CHN.1_1,Xuancheng,Anhui,16673.514958619147,0,0,NA,0,0,0,438.4744061358335,0,20,2,27.501687236401878,41.357526166017834,2559850.5,1347460,61.98450432472396,CNY million (nominal),nominal,0.09294488700761665,125239.51744728313,63.689686895400776,NA
CHN.1.17_1,2015,CHN.1_1,Xuancheng,Anhui,16673.514958619147,0,0,NA,0,0,0,438.47440613582864,110.99143199184245,20,5,27.501687236401878,36.019165179150335,2506469.75,2414270,79.1719234708266,CNY million (nominal),nominal,0.09381085456505187,226484.73185076777,80.8412683689089,NA
CHN.1.17_1,2020,CHN.1_1,Xuancheng,Anhui,16673.514958619147,0,0,NA,0,0,0,438.4744061358248,259.67763337734993,20,6,27.501687236401878,36.019165179150335,2455143,3862880,60.00198817862128,CNY million (nominal),nominal,0.09456618330665015,365297.8181715927,61.29026234416975,NA
CHN.1.1_1,2000,CHN.1_1,Anqing,Anhui,20870.382203027326,1,1,NA,0,0,0,244.25056858260376,0,7,1,16.743025174874358,54.848150222490865,5532351.5,316230,NA,CNY million (nominal),nominal,0.0909146922306033,28749.953124083684,NA,NA
CHN.1.1_1,2005,CHN.1_1,Anqing,Anhui,20870.382203027326,1,1,NA,0,0,0,244.25056858260376,0,7,1,16.743025174874358,54.848150222490865,5598566,831845,163.05062770768112,CNY million (nominal),nominal,0.09197666473066778,76510.32867288233,166.12331624565337,NA
CHN.1.1_1,2010,CHN.1_1,Anqing,Anhui,20870.382203027326,1,1,NA,0,0,0,244.2505685826074,0,7,1,16.743025174874358,54.848150222490865,5665883.5,1347460,61.98450432472396,CNY million (nominal),nominal,0.09294488700761665,125239.51744728313,63.689686895400776,NA
CHN.1.1_1,2015,CHN.1_1,Anqing,Anhui,20870.382203027326,1,1,NA,0,0,0,244.25056858260234,22.6482617798334,7,1,16.743025174874358,54.848150222490865,5734304.5,2414270,79.1719234708266,CNY million (nominal),nominal,0.09381085456505187,226484.73185076777,80.8412683689089,NA
CHN.1.1_1,2020,CHN.1_1,Anqing,Anhui,20870.382203027326,1,1,NA,0,0,0,251.31087858999427,123.22990159724094,7,1,16.743025174874358,54.848150222490865,5803829.5,3862880,60.00198817862128,CNY million (nominal),nominal,0.09456618330665015,365297.8181715927,61.29026234416975,NA
CHN.1.2_1,2000,CHN.1_1,Bengbu,Anhui,8437.657666367044,0,0,NA,0,0,0,311.6438259948396,0,9,1,9.138265850882174,30.000646755703084,3519973.75,316230,NA,CNY million (nominal),nominal,0.0909146922306033,28749.953124083684,NA,NA
CHN.1.2_1,2005,CHN.1_1,Bengbu,Anhui,8437.657666367044,0,0,NA,0,0,0,311.6438259948396,0,9,1,9.138265850882174,30.000646755703084,3455645.5,831845,163.05062770768112,CNY million (nominal),nominal,0.09197666473066778,76510.32867288233,166.12331624565337,NA
CHN.1.2_1,2010,CHN.1_1,Bengbu,Anhui,8437.657666367044,0,0,NA,0,0,0,311.6438259949094,0,9,1,9.138265850882174,30.000646755703084,3392694.5,1347460,61.98450432472396,CNY million (nominal),nominal,0.09294488700761665,125239.51744728313,63.689686895400776,NA
CHN.1.2_1,2015,CHN.1_1,Bengbu,Anhui,8437.657666367044,0,0,NA,0,0,0,387.3228705772272,183.605474961903,9,2,9.138265850882174,28.004775555451786,3331104.5,2414270,79.1719234708266,CNY million (nominal),nominal,0.09381085456505187,226484.73185076777,80.8412683689089,NA
CHN.1.2_1,2020,CHN.1_1,Bengbu,Anhui,8437.657666367044,0,0,NA,0,0,0,387.3228705772064,183.605474961903,9,2,9.138265850882174,28.004775555451786,3270861.25,3862880,60.00198817862128,CNY million (nominal),nominal,0.09456618330665015,365297.8181715927,61.29026234416975,NA
CHN.1.3_1,2000,CHN.1_1,Bozhou,Anhui,12370.20732592013,0,0,NA,0,0,0,197.152370492869,0,14,3,8.261852891805598,40.38222205619785,5084110,316230,NA,CNY million (nominal),nominal,0.0909146922306033,28749.953124083684,NA,NA
CHN.1.3_1,2005,CHN.1_1,Bozhou,Anhui,12370.20732592013,0,0,NA,0,0,0,208.71878373059823,0,14,3,8.261852891805598,40.38222205619785,4971933.5,831845,163.05062770768112,CNY million (nominal),nominal,0.09197666473066778,76510.32867288233,166.12331624565337,NA
CHN.1.3_1,2010,CHN.1_1,Bozhou,Anhui,12370.20732592013,0,0,NA,0,0,0,208.71878373059693,0,14,3,8.261852891805598,40.38222205619785,4862597.5,1347460,61.98450432472396,CNY million (nominal),nominal,0.09294488700761665,125239.51744728313,63.689686895400776,NA
CHN.1.3_1,2015,CHN.1_1,Bozhou,Anhui,12370.20732592013,0,0,NA,0,0,0,281.1039282901136,0,14,3,8.261852891805598,40.38222205619785,4756054.5,2414270,79.1719234708266,CNY million (nominal),nominal,0.09381085456505187,226484.73185076777,80.8412683689089,NA
CHN.1.3_1,2020,CHN.1_1,Bozhou,Anhui,12370.20732592013,0,0,NA,0,0,0,281.1039282901218,81.81510572146402,14,3,8.261852891805598,40.38222205619785,4652258,3862880,60.00198817862128,CNY million (nominal),nominal,0.09456618330665015,365297.8181715927,61.29026234416975,NA
CHN.1.4_1,2000,CHN.1_1,Chaohu,Anhui,13010.911816800353,0,0,NA,0,0,0,188.19084082434813,0,12,0,15.873505752873179,68.46434393615938,4208880,316230,NA,CNY million (nominal),nominal,0.0909146922306033,28749.953124083684,NA,NA
CHN.1.4_1,2005,CHN.1_1,Chaohu,Anhui,13010.911816800353,0,0,NA,0,0,0,188.19084082434813,0,12,0,15.873505752873179,68.46434393615938,4155116.5,831845,163.05062770768112,CNY million (nominal),nominal,0.09197666473066778,76510.32867288233,166.12331624565337,NA
CHN.1.4_1,2010,CHN.1_1,Chaohu,Anhui,13010.911816800353,0,0,NA,0,0,0,188.19084082432013,22.30138122660054,12,1,15.873505752873179,58.70345082158524,4102618.5,1347460,61.98450432472396,CNY million (nominal),nominal,0.09294488700761665,125239.51744728313,63.689686895400776,NA
CHN.1.4_1,2015,CHN.1_1,Chaohu,Anhui,13010.911816800353,0,0,NA,0,0,0,188.19084082433343,139.15173336301058,12,3,15.873505752873179,20.33022854981936,4051407,2414270,79.1719234708266,CNY million (nominal),nominal,0.09381085456505187,226484.73185076777,80.8412683689089,NA
CHN.1.4_1,2020,CHN.1_1,Chaohu,Anhui,13010.911816800353,0,0,NA,0,0,0,348.9690466731809,347.49356290364807,14,4,15.873505752873179,20.33022854981936,4001506.5,3862880,60.00198817862128,CNY million (nominal),nominal,0.09456618330665015,365297.8181715927,61.29026234416975,NA
CHN.1.5_1,2000,CHN.1_1,Chizhou,Anhui,11387.73591015558,2,2,NA,0,0,0,0,0,0,0,54.92139574228295,54.92139574228295,1437148.875,316230,NA,CNY million (nominal),nominal,0.0909146922306033,28749.953124083684,NA,NA
CHN.1.5_1,2005,CHN.1_1,Chizhou,Anhui,11387.73591015558,2,2,NA,0,0,0,0,0,0,0,54.92139574228295,54.92139574228295,1444740.875,831845,163.05062770768112,CNY million (nominal),nominal,0.09197666473066778,76510.32867288233,166.12331624565337,NA
CHN.1.5_1,2010,CHN.1_1,Chizhou,Anhui,11387.73591015558,2,2,NA,0,0,0,158.95228238550249,0,2,1,37.20264982051093,54.92139574228295,1452397.875,1347460,61.98450432472396,CNY million (nominal),nominal,0.09294488700761665,125239.51744728313,63.689686895400776,NA
CHN.1.5_1,2015,CHN.1_1,Chizhou,Anhui,11387.73591015558,2,2,NA,0,0,0,162.6285054675762,67.01318306359812,2,1,37.20264982051093,54.92139574228295,1460121.25,2414270,79.1719234708266,CNY million (nominal),nominal,0.09381085456505187,226484.73185076777,80.8412683689089,NA
CHN.1.5_1,2020,CHN.1_1,Chizhou,Anhui,11387.73591015558,2,2,NA,0,0,0,162.62850546757255,67.01318306359812,2,1,37.20264982051093,54.92139574228295,1467912.125,3862880,60.00198817862128,CNY million (nominal),nominal,0.09456618330665015,365297.8181715927,61.29026234416975,NA
CHN.1.6_1,2000,CHN.1_1,Chuzhou,Anhui,19147.91967406199,1,1,NA,0,0,0,413.63536273475313,0,20,0,25.14658499280521,81.80072358370266,4135757.25,316230,NA,CNY million (nominal),nominal,0.0909146922306033,28749.953124083684,NA,NA
CHN.1.6_1,2005,CHN.1_1,Chuzhou,Anhui,19147.91967406199,1,1,NA,0,0,0,413.63536273475313,0,20,0,25.14658499280521,81.80072358370266,4109548,831845,163.05062770768112,CNY million (nominal),nominal,0.09197666473066778,76510.32867288233,166.12331624565337,NA
CHN.1.6_1,2010,CHN.1_1,Chuzhou,Anhui,19147.91967406199,1,1,NA,0,0,0,413.63536273483567,127.07871159687198,20,2,25.14658499280521,70.67988416658375,4084547.25,1347460,61.98450432472396,CNY million (nominal),nominal,0.09294488700761665,125239.51744728313,63.689686895400776,NA
CHN.1.6_1,2015,CHN.1_1,Chuzhou,Anhui,19147.91967406199,1,1,NA,0,0,0,413.6353627348004,516.6894094348049,20,4,8.561251131262889,8.561251131262889,4060868.5,2414270,79.1719234708266,CNY million (nominal),nominal,0.09381085456505187,226484.73185076777,80.8412683689089,NA
CHN.1.6_1,2020,CHN.1_1,Chuzhou,Anhui,19147.91967406199,1,1,NA,0,0,0,413.6353627348006,516.6894094348049,20,4,8.561251131262889,8.561251131262889,4038640.25,3862880,60.00198817862128,CNY million (nominal),nominal,0.09456618330665015,365297.8181715927,61.29026234416975,NA
CHN.1.7_1,2000,CHN.1_1,Fuyang,Anhui,14366.367527159951,0,0,NA,0,0,0,636.1417281679026,0,15,0,31.841810897850625,79.60223519856861,7993388,316230,NA,CNY million (nominal),nominal,0.0909146922306033,28749.953124083684,NA,NA
CHN.1.7_1,2005,CHN.1_1,Fuyang,Anhui,14366.367527159951,0,0,NA,0,0,0,636.1417281679026,0,15,0,31.841810897850625,79.60223519856861,7790244,831845,163.05062770768112,CNY million (nominal),nominal,0.09197666473066778,76510.32867288233,166.12331624565337,NA
CHN.1.7_1,2010,CHN.1_1,Fuyang,Anhui,14366.367527159951,0,0,NA,0,0,0,636.141728167926,0,15,0,31.841810897850625,79.60223519856861,7592488,1347460,61.98450432472396,CNY million (nominal),nominal,0.09294488700761665,125239.51744728313,63.689686895400776,NA
CHN.1.7_1,2015,CHN.1_1,Fuyang,Anhui,14366.367527159951,0,0,NA,0,0,0,727.0648748035746,0,15,0,31.841810897850625,79.60223519856861,7399990,2414270,79.1719234708266,CNY million (nominal),nominal,0.09381085456505187,226484.73185076777,80.8412683689089,NA
CHN.1.7_1,2020,CHN.1_1,Fuyang,Anhui,14366.367527159951,0,0,NA,0,0,0,727.0648748036227,273.79278651784637,15,5,8.164272851692216,8.164272851692216,7212625,3862880,60.00198817862128,CNY million (nominal),nominal,0.09456618330665015,365297.8181715927,61.29026234416975,NA
CHN.1.8_1,2000,CHN.1_1,Hefei,Anhui,10439.031110066428,7,2,NA,0,0,0,502.6527970774353,0,9,5,23.04211297233484,23.046774625236893,5185038.5,316230,NA,CNY million (nominal),nominal,0.0909146922306033,28749.953124083684,NA,NA
CHN.1.8_1,2005,CHN.1_1,Hefei,Anhui,10439.031110066428,7,2,NA,0,0,0,585.8915946178997,0,10,6,23.04211297233484,23.046774625236893,5588571.5,831845,163.05062770768112,CNY million (nominal),nominal,0.09197666473066778,76510.32867288233,166.12331624565337,NA
CHN.1.8_1,2010,CHN.1_1,Hefei,Anhui,10439.031110066428,7,2,NA,0,0,0,603.8886983919137,194.74011084039321,10,9,23.04211297233484,23.046774625236893,6024471.5,1347460,61.98450432472396,CNY million (nominal),nominal,0.09294488700761665,125239.51744728313,63.689686895400776,NA
CHN.1.8_1,2015,CHN.1_1,Hefei,Anhui,10439.031110066428,7,2,NA,0,0,0,603.8886983919786,457.55035380021496,10,10,23.04211297233484,23.046774625236893,6495314,2414270,79.1719234708266,CNY million (nominal),nominal,0.09381085456505187,226484.73185076777,80.8412683689089,NA
CHN.1.8_1,2020,CHN.1_1,Hefei,Anhui,10439.031110066428,7,2,NA,0,0,0,703.9997358210926,734.1626037298244,10,11,23.04211297233484,23.046774625236893,7003879.5,3862880,60.00198817862128,CNY million (nominal),nominal,0.09456618330665015,365297.8181715927,61.29026234416975,NA
CHN.1.9_1,2000,CHN.1_1,Huaibei,Anhui,3901.8574715440022,1,1,NA,0,0,0,192.27886138630808,0,9,1,10.352833515601178,32.799643067834,1838203.375,316230,NA,CNY million (nominal),nominal,0.0909146922306033,28749.953124083684,NA,NA
CHN.1.9_1,2005,CHN.1_1,Huaibei,Anhui,3901.8574715440022,1,1,NA,0,0,0,265.2563915191354,0,9,1,10.352833515601178,32.799643067834,1941717.5,831845,163.05062770768112,CNY million (nominal),nominal,0.09197666473066778,76510.32867288233,166.12331624565337,NA
CHN.1.9_1,2010,CHN.1_1,Huaibei,Anhui,3901.8574715440022,1,1,NA,0,0,0,265.256391519099,0,9,1,10.352833515601178,32.799643067834,2051713,1347460,61.98450432472396,CNY million (nominal),nominal,0.09294488700761665,125239.51744728313,63.689686895400776,NA
CHN.1.9_1,2015,CHN.1_1,Huaibei,Anhui,3901.8574715440022,1,1,NA,0,0,0,287.38387212531796,0,9,1,10.352833515601178,32.799643067834,2168581.75,2414270,79.1719234708266,CNY million (nominal),nominal,0.09381085456505187,226484.73185076777,80.8412683689089,NA
CHN.1.9_1,2020,CHN.1_1,Huaibei,Anhui,3901.8574715440022,1,1,NA,0,0,0,369.1232490855866,10.112740845653386,9,1,10.352833515601178,32.799643067834,2292739.25,3862880,60.00198817862128,CNY million (nominal),nominal,0.09456618330665015,365297.8181715927,61.29026234416975,NA
CHN.10.10_1,2000,CHN.10_1,Xingtai,Hebei,19703.753149069278,0,0,NA,0,0,0,361.3727497372014,0,13,0,28.178722336996167,108.8251044967139,6674743,466370,NA,CNY million (nominal),nominal,0.15637168129609658,72927.06100606055,NA,NA
CHN.10.10_1,2005,CHN.10_1,Xingtai,Hebei,19703.753149069278,0,0,NA,0,0,0,361.3727497372014,0,13,0,28.178722336996167,108.8251044967139,6902286,1145890,145.7040547205009,CNY million (nominal),nominal,0.15581113742464492,178542.42426352637,144.82328205806718,NA
CHN.10.10_1,2010,CHN.10_1,Xingtai,Hebei,19703.753149069278,0,0,NA,0,0,0,361.3727497371947,0,13,0,28.178722336996167,108.8251044967139,7137614,1825410,59.300630950614796,CNY million (nominal),nominal,0.15523532325323722,283368.11141969176,58.71192103981069,NA
CHN.10.10_1,2015,CHN.10_1,Xingtai,Hebei,19703.753149069278,0,0,NA,0,0,0,509.3659323249602,208.1125736327251,21,1,28.178722336996167,33.25074287565646,7380994.5,2674410,46.51009910102388,CNY million (nominal),nominal,0.15464466982680164,413583.2514314966,45.9526441981841,NA
CHN.10.10_1,2020,CHN.10_1,Xingtai,Hebei,19703.753149069278,0,0,NA,0,0,0,509.36593232497864,208.1125736327251,21,1,28.178722336996167,33.25074287565646,7632703,3682150,37.6808342774668,CNY million (nominal),nominal,0.15403968901047618,567197.2408899249,37.142217177977784,NA
CHN.10.11_1,2000,CHN.10_1,Zhangjiakou,Hebei,64256.60207095252,0,0,NA,0,0,0,1035.6085019094203,0,46,3,33.4167531420724,40.31242097134866,4195197,466370,NA,CNY million (nominal),nominal,0.15637168129609658,72927.06100606055,NA,NA
CHN.10.11_1,2005,CHN.10_1,Zhangjiakou,Hebei,64256.60207095252,0,0,NA,0,0,0,1035.6085019094203,0,46,3,33.4167531420724,40.31242097134866,4273673,1145890,145.7040547205009,CNY million (nominal),nominal,0.15581113742464492,178542.42426352637,144.82328205806718,NA
CHN.10.11_1,2010,CHN.10_1,Zhangjiakou,Hebei,64256.60207095252,0,0,NA,0,0,0,1035.6085019094025,0,46,3,33.4167531420724,40.31242097134866,4353974.5,1825410,59.300630950614796,CNY million (nominal),nominal,0.15523532325323722,283368.11141969176,58.71192103981069,NA
CHN.10.11_1,2015,CHN.10_1,Zhangjiakou,Hebei,64256.60207095252,0,0,NA,0,0,0,1414.447370198733,0,52,3,28.404184137285316,40.31242097134866,4436205,2674410,46.51009910102388,CNY million (nominal),nominal,0.15464466982680164,413583.2514314966,45.9526441981841,NA
CHN.10.11_1,2020,CHN.10_1,Zhangjiakou,Hebei,64256.60207095252,0,0,NA,0,0,0,1414.4473701987868,340.0174925292633,52,7,27.511641358142604,27.511641358142604,4520484,3682150,37.6808342774668,CNY million (nominal),nominal,0.15403968901047618,567197.2408899249,37.142217177977784,NA
