dataset,source_url,date_accessed,license_terms,spatial_level,temporal_coverage,notes
China province boundaries (GADM level 1),https://geodata.ucdavis.edu/gadm/gadm4.1/pck/gadm41_CHN_1_pk.rds,2026-03-01,GADM terms,province polygons,static,Downloaded via geodata::gadm
China prefecture-level proxy boundaries (GADM level 2),https://geodata.ucdavis.edu/gadm/gadm4.1/pck/gadm41_CHN_2_pk.rds,2026-03-01,GADM terms,prefecture-like polygons,static,Used as primary analysis unit (closest readily available harmonized subprovincial layer)
China annual rail and HSR network (NBER CSTD),https://back.nber.org/appendix/w33515/,2026-03-01,NBER appendix supplemental dataset terms,rail line segments (annual snapshots),"2000, 2005, 2008, 2010, 2012, 2015, 2018, 2020",Built from RegularRailway + HighSpeedRailway yearly shapefiles (China-only coverage); cleaned for empty/duplicate segments
China annual railway stations (NBER CSTD),https://back.nber.org/appendix/w33515/,2026-03-01,NBER appendix supplemental dataset terms,station points (annual snapshots),"2000, 2005, 2010, 2015, 2020",Built from RailwayStations yearly shapefiles; station_type inferred from HghSpdS field
China multimodal infrastructure (Geofabrik OSM),https://download.geofabrik.de/asia/china.html,2026-03-01,OpenStreetMap ODbL (via Geofabrik extracts),roads/airports/ports-logistics hubs,latest subregion snapshots,Merged from all mainland province extracts; roads filtered to motorway/trunk classes; airports/ports/logistics from transport/traffic/landuse layers
Development zones,https://query.wikidata.org/sparql,2026-03-01,Wikidata CC0,zone points,static + partial inception years,Filtered by bilingual zone-related labels; station-like features removed
Population density (GPW v4),https://geodata.ucdavis.edu/geodata/pop/,2026-03-01,CIESIN GPW terms,global raster aggregated to prefectures,"2000, 2005, 2010, 2015, 2020",Used as substitute for WorldPop due scripted availability
Provincial GDP,https://en.wikipedia.org/wiki/List_of_Chinese_administrative_divisions_by_GDP,2026-03-01,Wikipedia CC BY-SA,province-year,"2000, 2010, 2015, 2020 (interpolated to 2005)",Nominal values; used as contextual economic baseline
